unit_number,sensor_16__root_mean_square,sensor_10__variance,sensor_16__mean,sensor_5__standard_deviation,sensor_10__standard_deviation,op_setting_1__median,op_setting_1__absolute_maximum,op_setting_1__maximum,op_setting_1__minimum,sensor_12__minimum,sensor_12__standard_deviation,sensor_11__maximum,sensor_11__standard_deviation,op_setting_1__sum_values,sensor_10__root_mean_square,sensor_14__minimum,sensor_10__mean,sensor_9__minimum,sensor_9__standard_deviation,sensor_9__mean,sensor_13__maximum,sensor_15__minimum,sensor_15__standard_deviation,sensor_15__maximum,sensor_8__minimum,sensor_16__standard_deviation,sensor_16__variance,sensor_17__median,sensor_17__standard_deviation,sensor_17__maximum,target_RUL
1,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0,0.0067,0.0047,-0.0067,519.53,0.7472227641516882,48.33,0.267646292259797,-0.0363,1.3,8110.93,1.3000000000000005,9033.22,4.899045116709556,9048.265833333331,2388.35,8.3682,0.0340356243960257,8.5227,2388.0,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.4718127050983387,398.0,0
2,0.03,0.0,0.03,0.0,0.0,0.0,0.0076,0.0076,-0.0068,519.48,0.7979744887719835,48.27,0.2931597161774758,0.0145,1.3,8129.68,1.3,9044.62,12.470045431976212,9062.65243902439,2388.26,8.3428,0.0410559090087406,8.5377,2387.94,0.0,0.0,392.0,1.6444073590227537,398.0,0
3,0.0299999999999999,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0001,0.0064,0.0058,-0.0064,519.53,0.5931239321393427,48.38,0.2417317725648769,0.0244999999999999,1.3,8130.42,1.3000000000000005,9047.08,35.098371744434445,9081.265865921789,2388.2,8.3682,0.0365175869443385,8.5363,2387.94,6.938893903907228e-18,4.814824860968091e-35,393.0,1.5663792315024223,399.0,0
4,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0001,0.0059,0.0059,-0.0047,519.6,0.5287536958466362,48.21,0.2221339708865077,0.0283,1.2999999999999998,8125.32,1.3000000000000005,9045.33,36.47481158099361,9077.366825396826,2388.17,8.3683,0.0318620977561836,8.5462,2388.01,0.0,0.0,393.0,1.5986017517876572,399.0,0
5,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0002,0.0063,0.0055,-0.0063,519.57,0.7518966698606706,48.27,0.2852085699259386,0.0367,1.3,8140.95,1.3000000000000005,9056.42,21.364209890222902,9083.948252788105,2388.23,8.3536,0.0385861053760072,8.541,2387.92,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.7368195242884104,398.0,0
6,0.0299999999999999,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,-5e-05,0.0069,0.0044,-0.0069,518.98,0.5954248452814641,48.34,0.2196112854152912,0.0010999999999999,1.3,8102.82,1.3000000000000005,9021.73,4.828328218033081,9039.279414893615,2388.36,8.3731,0.0302463294382716,8.5358,2388.08,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.314626341354619,397.0,0
7,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0002,0.0072,0.0068,-0.0072,519.06,0.7903292715560198,48.35,0.2733210714592561,0.0263,1.3,8139.94,1.3000000000000005,9054.44,4.739879584187022,9071.470463320464,2388.27,8.3575,0.0381461893965511,8.5627,2387.94,6.938893903907228e-18,4.814824860968091e-35,393.0,1.627448622613135,398.0,0
8,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,0.0001,0.0057,0.0053,-0.0057,519.31,0.5661325365043901,48.37,0.2078667201197281,0.0011999999999999,1.3,8115.23,1.3,9034.65,4.152557410667452,9044.636133333335,2388.3,8.3967,0.0309212501472153,8.5639,2388.06,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.225216534150415,397.0,0
9,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.0003,0.006,0.005,-0.006,519.86,0.6124174857497605,48.11,0.2336156732012601,-0.065,1.3,8140.94,1.3000000000000005,9051.59,39.85676190743296,9093.465174129353,2388.56,8.3487,0.0347908371762874,8.5282,2387.94,6.938893903907228e-18,4.814824860968091e-35,392.0,1.6424391906212967,399.0,0
10,0.03,4.437342591868191e-31,0.03,0.0,6.661338147750939e-16,0.0001,0.0074,0.0063,-0.0074,519.22,0.7494512886043663,48.13,0.2767296580201559,-0.0133999999999999,1.3,8129.38,1.3000000000000007,9043.1,16.219153001151174,9066.586351351352,2388.25,8.3279,0.0382779520547455,8.5312,2387.96,6.938893903907228e-18,4.814824860968091e-35,392.0,1.6538403461620157,398.0,0
11,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,-0.0001,0.0065,0.0065,-0.0059,519.94,0.6281199778682595,48.24,0.2557651782180069,-0.0723,1.3,8131.09,1.3000000000000005,9044.26,25.74512835520614,9073.026625,2388.18,8.3427,0.0361301551108396,8.5408,2387.95,1.3877787807814457e-17,1.9259299443872363e-34,393.0,1.5253414918196733,397.0,0
12,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0002,0.0072,0.0072,-0.0049,519.01,0.6246544899653769,48.28,0.2155480341299843,0.032,1.2999999999999998,8118.74,1.3000000000000005,9033.93,4.326008579322702,9047.791647058824,2388.33,8.4005,0.0302441326117885,8.5654,2388.06,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.3845914291246844,397.0,0
13,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,-0.0001,0.0064,0.0064,-0.006,519.76,0.515536296712655,48.34,0.193813827982414,-0.0033,1.2999999999999998,8129.46,1.3000000000000005,9045.6,25.08081425162292,9074.009815950922,2388.2,8.3731,0.0330415883209554,8.554,2388.03,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.3687170186858908,397.0,0
14,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0005499999999999,0.007,0.007,-0.0045,519.76,0.5222358715710331,48.32,0.2118036229420023,0.0921,1.3,8132.92,1.3000000000000005,9048.76,19.21818870421949,9073.367388888888,2388.23,8.3914,0.0286944848821916,8.5399,2388.01,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.315845970197101,397.0,0
15,0.03,4.437342591868191e-31,0.03,0.0,6.661338147750939e-16,-0.0001,0.0064,0.0055,-0.0064,519.6,0.8049234858122162,48.3,0.2892342465754204,0.0002999999999999,1.3,8116.7,1.3000000000000007,9039.93,4.903723133678655,9056.207149758451,2388.33,8.3409,0.0396804904083936,8.5487,2387.94,6.938893903907228e-18,4.814824860968091e-35,392.0,1.483477266620145,398.0,0
16,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0074,0.0074,-0.0061,519.29,0.5865905694285284,48.28,0.178116704192122,0.0276,1.3,8126.58,1.3000000000000005,9048.75,4.556080826581155,9059.1404784689,2388.32,8.3989,0.0288093330430089,8.5595,2388.06,6.938893903907228e-18,4.814824860968091e-35,394.0,1.2057036524740816,397.0,0
17,0.03,0.0,0.03,0.0,0.0,-0.0003,0.0072,0.0051,-0.0072,519.26,0.6482731198844451,48.23,0.2440408522474002,-0.0558,1.2999999999999998,8137.4,1.3,9052.74,29.038632955379367,9084.516231884058,2388.21,8.3449,0.0352205674057608,8.5549,2387.94,0.0,0.0,393.0,1.6025637147980725,398.0,0
18,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0002,0.0071,0.0071,-0.0053,519.44,0.5962014317925812,48.3,0.2376946256075957,0.0356,1.3,8136.89,1.3000000000000005,9051.44,39.58372797394887,9088.212307692307,2388.39,8.3509,0.0379216489944584,8.5429,2387.94,6.938893903907228e-18,4.814824860968091e-35,392.0,1.5765707340368311,398.0,0
19,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,0.00025,0.0051,0.0051,-0.0049,519.22,0.6235402693918642,48.24,0.200948848798295,0.0467999999999999,1.3,8112.87,1.3,9035.58,4.071470723749587,9045.320443037974,2388.33,8.3976,0.0307615431741546,8.5381,2388.01,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.2627335721944912,398.0,0
20,0.0299999999999999,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.0001,0.0058,0.0057,-0.0058,519.28,0.5805605698627992,48.41,0.210430804612446,0.0453999999999999,1.3,8129.1,1.3000000000000005,9047.97,6.201714833256787,9061.914914529914,2388.29,8.3917,0.0277314391137364,8.5451,2388.03,1.0408340855860844e-17,1.0833355937178202e-34,394.0,1.3188244676519554,397.0,0
21,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0064,0.0064,-0.006,519.79,0.5243241891790951,48.25,0.1993442240400249,-0.0064999999999999,1.3,8118.42,1.3000000000000005,9037.63,29.585159410441285,9068.594307692309,2388.21,8.3731,0.0312968604290481,8.5325,2388.01,6.938893903907228e-18,4.814824860968091e-35,393.0,1.4219653778597037,399.0,0
22,0.0299999999999999,1.972152263052529e-31,0.03,1.7763568394002505e-15,4.440892098500626e-16,0.0001,0.0057,0.0057,-0.0049,519.29,0.544465674581032,48.35,0.1886111912183336,0.0054,1.3,8116.1,1.3000000000000005,9035.89,4.782548738285412,9047.49603960396,2388.31,8.4072,0.0284058505739353,8.5599,2388.06,6.938893903907228e-18,4.814824860968091e-35,394.0,1.2781100644043506,398.0,0
23,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0003,0.0067,0.0051,-0.0067,519.22,0.5886744183856446,48.19,0.2133674438609911,0.0212,1.2999999999999998,8123.74,1.3000000000000005,9041.01,4.245581666501435,9053.305773809525,2388.36,8.3864,0.0312452715640389,8.5626,2388.03,6.938893903907228e-18,4.814824860968091e-35,394.0,1.3614697107327178,397.0,0
24,0.03,0.0,0.03,0.0,0.0,0.0,0.0067,0.0067,-0.0061,519.3,0.7051967179677193,48.28,0.2617143048111315,-0.0107,1.3,8116.55,1.3,9039.95,6.54839081589933,9059.898299319726,2388.3,8.3712,0.0372526364277755,8.5617,2387.96,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4184285211689087,398.0,0
25,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0001,0.0084,0.006,-0.0084,519.65,0.4971551126652024,48.39,0.1939822648919935,0.0224,1.3,8120.11,1.3000000000000005,9036.28,26.11102591765764,9065.487304347826,2388.23,8.3837,0.0325288468779028,8.5494,2388.04,6.938893903907228e-18,4.814824860968091e-35,393.0,1.4456047720244325,398.0,0
26,0.03,1.972152263052529e-31,0.03,1.7763568394002505e-15,4.440892098500626e-16,0.0001,0.0065,0.0056,-0.0065,519.2,0.4879317182585957,48.2,0.1789199914044222,-0.0208,1.3,8119.6,1.3000000000000005,9035.69,28.250199018453053,9068.30512562814,2388.21,8.397,0.031536218462624,8.5494,2388.05,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.3875535724945949,398.0,0
27,0.0299999999999999,0.0,0.03,0.0,0.0,-0.0003,0.0051,0.005,-0.0051,519.43,0.5805058269489075,48.26,0.211374373033439,-0.0399,1.3,8136.03,1.3,9053.27,20.31551627673377,9078.850576923076,2388.25,8.3907,0.0316523581293389,8.5521,2387.97,0.0,0.0,393.0,1.3982589907196037,398.0,0
28,0.0299999999999999,0.0,0.0299999999999999,0.0,0.0,0.0,0.0055,0.0053,-0.0055,519.31,0.7558160799692797,48.28,0.2897204631021576,0.023,1.2999999999999998,8136.66,1.3,9049.26,8.120450015349602,9068.700181818182,2388.25,8.3489,0.0413372751786074,8.5378,2387.94,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.5954020250931291,397.0,0
29,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,-0.0001,0.0073,0.0073,-0.0057,518.95,0.6678777431083814,48.23,0.2468823711613673,-0.0015999999999999,1.2999999999999998,8121.38,1.3000000000000005,9042.66,5.245600422342839,9058.49036809816,2388.39,8.3858,0.033609235921207,8.5641,2387.98,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.3807361472523476,397.0,0
30,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.00015,0.0058,0.0058,-0.0052,519.22,0.8376018520624146,48.2,0.2804763988453903,-0.0226,1.3,8117.48,1.3000000000000005,9045.55,5.067786589076635,9059.974587628863,2388.31,8.3464,0.0398173525412821,8.5502,2387.91,6.938893903907228e-18,4.814824860968091e-35,392.0,1.4437407276814198,397.0,0
31,0.0299999999999999,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0002,0.007,0.0057,-0.007,519.23,0.7926514677072954,48.32,0.2862941079367792,-0.0065,1.3,8116.96,1.3000000000000005,9042.46,4.868659492081543,9055.485512820513,2388.35,8.3587,0.0369085861878407,8.5313,2387.95,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.596804464705196,397.0,0
32,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0056,0.0056,-0.0056,519.65,0.5082961259134776,48.53,0.213781577732948,0.0089,1.2999999999999998,8122.23,1.3000000000000005,9042.23,11.667892840651076,9059.377068062828,2388.28,8.3846,0.0307569619709829,8.5494,2388.06,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.336156017314908,398.0,0
33,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0002,0.0057,0.004,-0.0057,519.36,0.8548810677515325,48.28,0.2953551717847516,0.0157999999999999,1.3,8125.33,1.3000000000000005,9047.15,4.772735839117857,9060.7119,2388.32,8.3528,0.0424865901667808,8.5512,2387.92,1.0408340855860844e-17,1.0833355937178202e-34,392.0,1.524827859136893,398.0,0
34,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0001,0.0057,0.0057,-0.0054,519.49,0.5243436998590305,48.35,0.211068886742434,0.0223,1.3,8132.44,1.3000000000000005,9049.74,27.238660221096914,9079.31035897436,2388.23,8.388,0.0293707860955599,8.5215,2388.0,6.938893903907228e-18,4.814824860968091e-35,393.0,1.4010046174793835,397.0,0
35,0.03,0.0,0.03,0.0,0.0,-0.0001,0.0074,0.0074,-0.0057,519.61,0.6349008532316419,48.2,0.2342145541444769,0.0051999999999999,1.3,8131.11,1.3,9048.11,12.127171535854044,9066.375856353592,2388.26,8.376,0.0342068774411161,8.5465,2388.0,0.0,0.0,393.0,1.4312911532079575,397.0,0
36,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,0.0003,0.0083,0.0083,-0.006,519.38,0.6508843650431214,48.3,0.210579398098154,0.0291999999999999,1.3,8124.16,1.3,9048.87,4.098761243470065,9059.574493670889,2388.31,8.3889,0.0321671473857124,8.5334,2388.01,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.3475663049819493,397.0,0
37,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,-0.0001,0.007,0.007,-0.0056,519.15,0.6705186651218683,48.4,0.2267658884534663,-0.0025,1.2999999999999998,8109.05,1.3000000000000005,9029.11,4.861754669218464,9043.918352941177,2388.37,8.3788,0.0326198106745411,8.5559,2388.04,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.3494071490766746,397.0,0
38,0.03,4.930380657631324e-32,0.03,1.7763568394002505e-15,2.220446049250313e-16,0.0004,0.0072,0.0072,-0.0056,519.17,0.5226971392634505,48.52,0.1895576068121526,0.0221,1.3,8120.81,1.3000000000000005,9038.89,27.93260219067347,9068.34056701031,2388.23,8.376,0.0312415523367761,8.5574,2388.0,6.938893903907228e-18,4.814824860968091e-35,394.0,1.3211673051303503,398.0,0
39,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.00015,0.0073,0.0064,-0.0073,518.83,0.6378376432375715,48.34,0.2175852360821789,0.0214,1.3,8105.83,1.3000000000000005,9027.44,5.134429958242103,9043.1240625,2388.34,8.3966,0.0317479466821126,8.5383,2388.05,1.3877787807814457e-17,1.9259299443872363e-34,394.0,1.2243212006429318,397.0,0
40,0.0299999999999999,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0004,0.0074,0.0062,-0.0074,519.56,0.4725574394848722,48.2,0.1740192397120218,0.0221,1.3,8131.63,1.3000000000000005,9047.93,20.73377907788676,9073.667978723404,2388.25,8.402,0.0274714677439482,8.5442,2388.02,3.469446951953614e-18,1.2037062152420224e-35,394.0,1.377320668081771,398.0,0
41,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.00015,0.0057,0.0057,-0.0045,519.6,0.6983283473480592,48.34,0.2601235222501928,0.0137,1.3,8139.22,1.3000000000000005,9055.66,23.28177699958673,9082.083472222224,2388.19,8.3621,0.0373644145328094,8.551,2387.93,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.6526156679498596,398.0,0
42,0.03,4.930380657631324e-32,0.03,0.0,2.220446049250313e-16,0.0,0.0067,0.0051,-0.0067,519.29,0.7114397091872298,48.14,0.2408162562694466,-0.0219,1.3,8132.37,1.3000000000000005,9051.05,4.5046008376757065,9062.8856122449,2388.29,8.3669,0.0367446063263083,8.5848,2387.93,3.469446951953614e-18,1.2037062152420224e-35,393.0,1.4067113929091644,398.0,0
43,0.03,4.437342591868191e-31,0.03,0.0,6.661338147750939e-16,-0.0001,0.0086,0.0048,-0.0086,519.37,0.7929698310060208,48.23,0.2694846381045365,-0.0132,1.3,8111.21,1.3000000000000007,9035.0,5.625649496706722,9052.06222222222,2388.33,8.3635,0.0385979837879343,8.5346,2387.96,6.938893903907228e-18,4.814824860968091e-35,392.0,1.5201202952898087,397.0,0
44,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0,0.0069,0.0061,-0.0069,519.62,0.6944415640131276,48.24,0.2631875709121518,0.0056,1.3,8141.2,1.3000000000000005,9058.88,6.138376631075251,9070.938541666668,2388.24,8.372,0.0372219122846108,8.532,2387.95,1.0408340855860844e-17,1.0833355937178202e-34,393.0,1.6318964236433635,398.0,0
45,0.03,0.0,0.0299999999999999,1.7763568394002505e-15,0.0,-0.0002,0.0072,0.0072,-0.0052,519.37,0.8154813733084911,48.35,0.2849138559348021,-0.0275,1.3,8143.72,1.3,9058.36,7.04744858096614,9076.769620253164,2388.25,8.3669,0.0390081719639764,8.5521,2387.92,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.5822278472911135,397.0,0
46,0.03,4.930380657631324e-32,0.03,3.552713678800501e-15,2.220446049250313e-16,0.0001,0.007,0.0063,-0.007,519.37,0.7893111603474979,48.33,0.290827046702589,0.0034,1.3,8118.01,1.3000000000000005,9041.98,4.503069523148634,9058.235898437502,2388.32,8.3493,0.0379053735149595,8.5302,2387.96,1.3877787807814457e-17,1.9259299443872363e-34,392.0,1.4988958745601502,397.0,0
47,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,-0.00025,0.0081,0.0058,-0.0081,519.5,0.740497297569157,48.28,0.2791779988696156,0.0055999999999999,1.3,8140.33,1.3000000000000005,9054.8,11.73219075513354,9073.912663551402,2388.23,8.3603,0.0396980413505893,8.5473,2387.9,3.469446951953614e-18,1.2037062152420224e-35,392.0,1.627329320149968,397.0,0
48,0.03,1.972152263052529e-31,0.03,0.0,4.440892098500626e-16,0.0003,0.0063,0.0063,-0.0055,520.14,0.5634767197989338,48.12,0.2175416293218307,0.0493,1.3,8137.78,1.3000000000000005,9057.89,38.80485550167407,9093.182770562771,2388.55,8.3446,0.0333670323331767,8.5171,2387.95,6.938893903907228e-18,4.814824860968091e-35,392.0,1.5868266375880629,398.0,0
